"pair","carrier","dist","pass","port1","port2","carrier_name"
"LAS-MDW","WN",1521,723006,"LAS","MDW","Southwest"
"ATL-SEA","DL",2182,722148,"ATL","SEA","Delta"
"JFK-MCO","B6",944,719999,"JFK","MCO","Jetblue"
"CLT-FLL","AA",632,714908,"CLT","FLL","American"
"DEN-EWR","UA",1605,709417,"DEN","EWR","United"
"ATL-PHL","DL",666,706430,"ATL","PHL","Delta"
"ATL-BWI","DL",577,705441,"ATL","BWI","Delta"
"ATL-AUS","DL",813,703790,"ATL","AUS","Delta"
"DTW-MCO","DL",957,700647,"DTW","MCO","Delta"
"SAN-SEA","AS",1050,699611,"SAN","SEA","Alaska"
"ATL-BNA","DL",214,698390,"ATL","BNA","Delta"
"FLL-JFK","B6",1069,696759,"FLL","JFK","Jetblue"
"DFW-SNA","AA",1205,695835,"DFW","SNA","American"
"MCO-MIA","AA",192,694839,"MCO","MIA","American"
"DFW-TPA","AA",929,692444,"DFW","TPA","American"
"ATL-MSY","DL",425,690447,"ATL","MSY","Delta"
"HNL-KOA","HA",163,686943,"HNL","KOA","Hawaiian"
"DEN-LAX","UA",862,684375,"DEN","LAX","United"
"ATL-PHX","DL",1587,683974,"ATL","PHX","Delta"
"MDW-PHX","WN",1444,678630,"MDW","PHX","Southwest"
"DFW-SFO","AA",1464,678162,"DFW","SFO","American"
"DAL-DEN","WN",651,676241,"DAL","DEN","Southwest"
"DEN-LAS","WN",628,672470,"DEN","LAS","Southwest"
"MIA-PHL","AA",1013,672239,"MIA","PHL","American"
"DCA-MIA","AA",919,670523,"DCA","MIA","American"
"LAX-SLC","DL",590,668757,"LAX","SLC","Delta"
"EWR-ORD","UA",719,665048,"EWR","ORD","United"
"CLT-RDU","AA",130,661742,"CLT","RDU","American"
"DFW-SEA","AA",1660,659143,"DFW","SEA","American"
"BNA-DFW","AA",631,657574,"BNA","DFW","American"
"HNL-LIH","HA",102,657119,"HNL","LIH","Hawaiian"
"DAL-HOU","WN",239,655672,"DAL","HOU","Southwest"
"ATL-DFW","AA",731,654464,"ATL","DFW","American"
"CLT-LAS","AA",1916,652066,"CLT","LAS","American"
"LAS-MSP","DL",1299,650978,"LAS","MSP","Delta"
"ATL-IND","DL",432,650605,"ATL","IND","Delta"
"ATL-ORD","DL",606,649756,"ATL","ORD","Delta"
"BOS-MIA","AA",1258,649315,"BOS","MIA","American"
"DAL-PHX","WN",879,649018,"DAL","PHX","Southwest"
"LAX-PHX","AA",370,648457,"LAX","PHX","American"
"IAH-MCO","UA",854,640489,"IAH","MCO","United"
"EWR-FLL","UA",1065,635124,"EWR","FLL","United"
"ATL-MEM","DL",332,633471,"ATL","MEM","Delta"
"DEN-SFO","UA",967,632993,"DEN","SFO","United"
"HNL-SFO","UA",2398,632054,"HNL","SFO","United"
"ATL-ORF","DL",516,630153,"ATL","ORF","Delta"
"DTW-LAX","DL",1979,627901,"DTW","LAX","Delta"
"DFW-SLC","AA",989,626174,"DFW","SLC","American"
"ATL-RIC","DL",481,623872,"ATL","RIC","Delta"
"DCA-DFW","AA",1192,620879,"DCA","DFW","American"
"CLT-EWR","AA",529,619836,"CLT","EWR","American"
"CLT-LGA","AA",544,617833,"CLT","LGA","American"
"ATL-IAH","DL",689,615152,"ATL","IAH","Delta"
"DFW-ONT","AA",1188,608321,"DFW","ONT","American"
"LAS-PHX","WN",255,606046,"LAS","PHX","Southwest"
"ATL-CVG","DL",373,604108,"ATL","CVG","Delta"
"LAS-OAK","WN",407,602649,"LAS","OAK","Southwest"
"ATL-SFO","DL",2139,602324,"ATL","SFO","Delta"
"ATL-PNS","DL",271,598654,"ATL","PNS","Delta"
"DAL-LAS","WN",1067,596778,"DAL","LAS","Southwest"
"DTW-LAS","DL",1749,593248,"DTW","LAS","Delta"
"MCO-PHL","AA",861,593078,"MCO","PHL","American"
"JFK-SJU","B6",1598,591562,"JFK","SJU","Jetblue"
"MCO-ORD","UA",1005,591298,"MCO","ORD","United"
"BOS-DFW","AA",1562,590622,"BOS","DFW","American"
"JFK-LAX","B6",2475,589792,"JFK","LAX","Jetblue"
"DEN-IAD","UA",1452,589009,"DEN","IAD","United"
"LAX-MSP","DL",1535,582691,"LAX","MSP","Delta"
"IAH-LAS","UA",1222,581832,"IAH","LAS","United"
"CLT-RSW","AA",600,580442,"CLT","RSW","American"
"CLT-DEN","AA",1337,578147,"CLT","DEN","American"
"LAX-SFO","OO",337,576311,"LAX","SFO","Skywest"
"ATL-SRQ","DL",444,573440,"ATL","SRQ","Delta"
"DEN-MDW","WN",895,573214,"DEN","MDW","Southwest"
"SEA-SLC","DL",689,572833,"SEA","SLC","Delta"
"SAN-SMF","WN",480,569578,"SAN","SMF","Southwest"
"ATL-MCI","DL",692,568757,"ATL","MCI","Delta"
"DFW-TUS","AA",813,566666,"DFW","TUS","American"
"ATL-FLL","NK",581,565679,"ATL","FLL","Spirit"
"ATL-SAT","DL",874,563604,"ATL","SAT","Delta"
"ATL-CMH","DL",447,562524,"ATL","CMH","Delta"
"DFW-IAH","AA",224,561420,"DFW","IAH","American"
"ATL-JFK","DL",760,560937,"ATL","JFK","Delta"
"DFW-MSY","AA",447,560433,"DFW","MSY","American"
"FLL-LGA","NK",1076,559386,"FLL","LGA","Spirit"
"DFW-FLL","AA",1119,559361,"DFW","FLL","American"
"LAS-SAN","WN",258,556477,"LAS","SAN","Southwest"
"DFW-ELP","AA",551,553027,"DFW","ELP","American"
"EWR-MIA","UA",1085,552775,"EWR","MIA","United"
"ATL-CLE","DL",554,552202,"ATL","CLE","Delta"
"PDX-SEA","AS",129,550546,"PDX","SEA","Alaska"
"MCO-MSP","DL",1310,548578,"MCO","MSP","Delta"
"LAS-SMF","WN",397,548069,"LAS","SMF","Southwest"
"BOS-MCO","B6",1121,546705,"BOS","MCO","Jetblue"
"DEN-HOU","WN",883,545245,"DEN","HOU","Southwest"
"HNL-ITO","HA",216,543028,"HNL","ITO","Hawaiian"
"EWR-PBI","UA",1023,542198,"EWR","PBI","United"
"PHX-SAN","WN",304,539245,"PHX","SAN","Southwest"
"ATL-BHM","DL",134,538043,"ATL","BHM","Delta"
"DEN-MSP","DL",680,537258,"DEN","MSP","Delta"
"MCO-SJU","WN",1189,533512,"MCO","SJU","Southwest"
"EWR-TPA","UA",997,531357,"EWR","TPA","United"
"ATL-PIT","DL",526,531340,"ATL","PIT","Delta"
"SEA-SNA","AS",978,531215,"SEA","SNA","Alaska"
"DEN-LAS","UA",628,526334,"DEN","LAS","United"
"BWI-TPA","WN",842,526236,"BWI","TPA","Southwest"
"ORD-PHL","AA",678,526191,"ORD","PHL","American"
"LAX-PHL","AA",2402,524466,"LAX","PHL","American"
"DAL-MDW","WN",793,523325,"DAL","MDW","Southwest"
"ATL-SAV","DL",214,518824,"ATL","SAV","Delta"
"MSP-SEA","DL",1399,518755,"MSP","SEA","Delta"
"DTW-MSP","DL",528,516808,"DTW","MSP","Delta"
"BWI-FLL","WN",925,512938,"BWI","FLL","Southwest"
"ATL-SAN","DL",1892,512517,"ATL","SAN","Delta"
"LAS-ORD","AA",1514,511305,"LAS","ORD","American"
"DAL-MCO","WN",973,511067,"DAL","MCO","Southwest"
"DEN-MCO","UA",1546,510615,"DEN","MCO","United"
"DTW-FLL","DL",1127,505672,"DTW","FLL","Delta"
"LAX-SEA","DL",954,502953,"LAX","SEA","Delta"
"ATL-STL","DL",484,502591,"ATL","STL","Delta"
"DEN-SAN","WN",853,501434,"DEN","SAN","Southwest"
"OAK-PHX","WN",646,500829,"OAK","PHX","Southwest"
"LAS-LAX","WN",236,497685,"LAS","LAX","Southwest"
"EWR-MCO","B6",937,495038,"EWR","MCO","Jetblue"
"MCO-SJU","NK",1189,494378,"MCO","SJU","Spirit"
"CLT-PBI","AA",590,493835,"CLT","PBI","American"
"DFW-MCI","AA",460,489516,"DFW","MCI","American"
"LAS-PHX","AA",255,488730,"LAS","PHX","American"
"PHL-PHX","AA",2075,487937,"PHL","PHX","American"
"MSP-SLC","DL",991,485643,"MSP","SLC","Delta"
"EWR-FLL","NK",1065,484747,"EWR","FLL","Spirit"
"LAS-RNO","WN",345,482254,"LAS","RNO","Southwest"
"PHX-SMF","WN",647,481136,"PHX","SMF","Southwest"
"BOS-DCA","AA",399,479320,"BOS","DCA","American"
"PHX-SNA","WN",338,478632,"PHX","SNA","Southwest"
"DEN-PHX","UA",602,477864,"DEN","PHX","United"
"CLT-DCA","AA",331,476906,"CLT","DCA","American"
"DEN-SAN","UA",853,476702,"DEN","SAN","United"
"SAN-SLC","DL",626,475438,"SAN","SLC","Delta"
"DTW-TPA","DL",983,474657,"DTW","TPA","Delta"
"DTW-RSW","DL",1084,472608,"DTW","RSW","Delta"
"MDW-TPA","WN",997,472484,"MDW","TPA","Southwest"
"MCO-PHL","F9",861,472287,"MCO","PHL","Frontier"
"LAS-SNA","WN",226,470558,"LAS","SNA","Southwest"
"MCO-ORD","AA",1005,468425,"MCO","ORD","American"
"DTW-PHX","DL",1671,467969,"DTW","PHX","Delta"
"LAS-ORD","UA",1514,467146,"LAS","ORD","United"
"HNL-LAX","UA",2556,466968,"HNL","LAX","United"
"SEA-SFO","AS",679,466403,"SEA","SFO","Alaska"
"SAN-SJC","WN",417,465619,"SAN","SJC","Southwest"
"DEN-MCO","WN",1546,462716,"DEN","MCO","Southwest"
"ATL-MKE","DL",669,462206,"ATL","MKE","Delta"
"LAX-SFO","UA",337,458696,"LAX","SFO","United"
"DFW-OKC","AA",175,458473,"DFW","OKC","American"
"MIA-TPA","AA",204,455216,"MIA","TPA","American"
"DFW-SMF","AA",1431,454460,"DFW","SMF","American"
"SMF-SNA","WN",404,453082,"SMF","SNA","Southwest"
"PDX-SLC","DL",630,451876,"PDX","SLC","Delta"
"ORD-SEA","AS",1721,451607,"ORD","SEA","Alaska"
"BOS-DEN","UA",1754,451187,"BOS","DEN","United"
"LAS-LAX","AA",236,450615,"LAS","LAX","American"
"BWI-CLT","AA",361,450563,"BWI","CLT","American"
"JFK-LAX","AA",2475,449871,"JFK","LAX","American"
"DCA-ORD","AA",612,448790,"DCA","ORD","American"
"DTW-SLC","DL",1481,448620,"DTW","SLC","Delta"
"HNL-LAX","HA",2556,448588,"HNL","LAX","Hawaiian"
"DEN-LAS","F9",628,447067,"DEN","LAS","Frontier"
"ATL-CLT","DL",226,446544,"ATL","CLT","Delta"
"HNL-LAX","AA",2556,445871,"HNL","LAX","American"
"JFK-MCO","DL",944,445068,"JFK","MCO","Delta"
"LAS-SLC","DL",368,444699,"LAS","SLC","Delta"
"LAS-SJC","WN",386,444677,"LAS","SJC","Southwest"
"DAL-SAT","WN",247,444387,"DAL","SAT","Southwest"
"BNA-MCO","WN",616,443238,"BNA","MCO","Southwest"
"HOU-MCO","WN",849,441890,"HOU","MCO","Southwest"
"DEN-LAX","WN",862,441485,"DEN","LAX","Southwest"
"LGA-MCO","DL",950,441291,"LGA","MCO","Delta"
"ATL-BDL","DL",859,440630,"ATL","BDL","Delta"
"DEN-SLC","WN",391,440426,"DEN","SLC","Southwest"
"HOU-LAS","WN",1235,440252,"HOU","LAS","Southwest"
"PHX-SLC","DL",507,440004,"PHX","SLC","Delta"
"DFW-JAX","AA",918,438659,"DFW","JAX","American"
"BWI-DEN","WN",1491,437306,"BWI","DEN","Southwest"
"MCO-SJU","B6",1189,436520,"MCO","SJU","Jetblue"
"ORD-PHX","UA",1440,435998,"ORD","PHX","United"
"LAX-PDX","AS",834,435133,"LAX","PDX","Alaska"
"HOU-MDW","WN",937,434556,"HOU","MDW","Southwest"
"DFW-PDX","AA",1616,434238,"DFW","PDX","American"
"BUR-LAS","WN",223,434234,"BUR","LAS","Southwest"
"PHX-SAN","AA",304,434224,"PHX","SAN","American"
"JFK-SFO","DL",2586,433564,"JFK","SFO","Delta"
"DEN-OAK","WN",957,433136,"DEN","OAK","Southwest"
"BNA-DEN","WN",1014,432543,"BNA","DEN","Southwest"
"OAK-SAN","WN",446,430626,"OAK","SAN","Southwest"
"OAK-SNA","WN",371,429583,"OAK","SNA","Southwest"
"LAX-PHX","WN",370,429099,"LAX","PHX","Southwest"
"IAD-SFO","UA",2419,427774,"IAD","SFO","United"
"JFK-MIA","B6",1089,427285,"JFK","MIA","Jetblue"
"DEN-SEA","UA",1024,425936,"DEN","SEA","United"
"DFW-MSP","AA",852,425727,"DFW","MSP","American"
"ATL-MIA","AA",594,422328,"ATL","MIA","American"
"AUS-DEN","WN",775,420914,"AUS","DEN","Southwest"
"EWR-FLL","B6",1065,420662,"EWR","FLL","Jetblue"
"ATL-MDW","WN",591,420202,"ATL","MDW","Southwest"
"DTW-SEA","DL",1927,419854,"DTW","SEA","Delta"
"DEN-SMF","WN",909,418749,"DEN","SMF","Southwest"
"IAD-LAX","UA",2288,416563,"IAD","LAX","United"
"IAH-MSY","UA",305,416293,"IAH","MSY","United"
"AUS-CLT","AA",1032,415942,"AUS","CLT","American"
"EWR-LAS","UA",2227,415171,"EWR","LAS","United"
"MCO-SLC","DL",1931,414563,"MCO","SLC","Delta"
"DEN-SEA","AS",1024,413646,"DEN","SEA","Alaska"
"SJC-SNA","WN",342,413546,"SJC","SNA","Southwest"
"ATL-ECP","DL",240,413516,"ATL","ECP","Delta"
"EWR-SJU","UA",1608,412634,"EWR","SJU","United"
"BOS-DTW","DL",632,412215,"BOS","DTW","Delta"
"DTW-MCO","NK",957,410552,"DTW","MCO","Spirit"
"CLT-JFK","AA",541,409610,"CLT","JFK","American"
"ORD-SAN","UA",1723,405622,"ORD","SAN","United"
"FLL-ORD","UA",1182,405607,"FLL","ORD","United"
"DEN-STL","WN",770,405126,"DEN","STL","Southwest"
"JFK-SLC","DL",1990,404891,"JFK","SLC","Delta"
"EWR-RSW","UA",1068,404379,"EWR","RSW","United"
"ORD-TPA","UA",1011,403802,"ORD","TPA","United"
"BOS-FLL","B6",1237,403558,"BOS","FLL","Jetblue"
"DEN-PDX","UA",991,402826,"DEN","PDX","United"
"ATL-SJU","DL",1547,402187,"ATL","SJU","Delta"
"ABQ-DFW","AA",569,401647,"ABQ","DFW","American"
"MSP-RSW","DL",1416,401507,"MSP","RSW","Delta"
"DEN-ORD","AA",888,401501,"DEN","ORD","American"
"LGA-ORD","AA",733,401279,"LGA","ORD","American"
"FLL-IAH","UA",966,400823,"FLL","IAH","United"
"DTW-FLL","NK",1127,398293,"DTW","FLL","Spirit"
"HOU-PHX","WN",1020,396534,"HOU","PHX","Southwest"
"MDW-RSW","WN",1105,396506,"MDW","RSW","Southwest"
"BOS-BWI","WN",369,395879,"BOS","BWI","Southwest"
"DFW-TUL","AA",237,395311,"DFW","TUL","American"
"DFW-RDU","AA",1061,394673,"DFW","RDU","American"
"IAH-PHX","UA",1009,393697,"IAH","PHX","United"
"BNA-DAL","WN",623,393324,"BNA","DAL","Southwest"
"FLL-SJU","B6",1046,393165,"FLL","SJU","Jetblue"
"BOS-MSP","DL",1124,392877,"BOS","MSP","Delta"
"SEA-SMF","AS",605,392428,"SEA","SMF","Alaska"
"DTW-LGA","DL",502,392023,"DTW","LGA","Delta"
"ORD-RSW","UA",1120,391406,"ORD","RSW","United"
"DEN-SNA","WN",846,390728,"DEN","SNA","Southwest"
"LAX-MCO","DL",2218,390573,"LAX","MCO","Delta"
"DAL-MSY","WN",436,389615,"DAL","MSY","Southwest"
"DEN-SEA","WN",1024,386963,"DEN","SEA","Southwest"
"DFW-LAS","NK",1055,386729,"DFW","LAS","Spirit"
"DFW-DTW","AA",986,386254,"DFW","DTW","American"
"FLL-ORD","NK",1182,385380,"FLL","ORD","Spirit"
"CLT-IAH","AA",912,384975,"CLT","IAH","American"
"DEN-DTW","DL",1123,384486,"DEN","DTW","Delta"
"DFW-RSW","AA",1017,382899,"DFW","RSW","American"
"MCO-STL","WN",882,381535,"MCO","STL","Southwest"
"DFW-IND","AA",761,381117,"DFW","IND","American"
"ATL-VPS","DL",250,378235,"ATL","VPS","Delta"
"HNL-LAX","DL",2556,377799,"HNL","LAX","Delta"
"IAH-SAT","UA",191,376809,"IAH","SAT","United"
"BWI-LAS","WN",2106,376448,"BWI","LAS","Southwest"
"IAH-SAN","UA",1303,375932,"IAH","SAN","United"
"ANC-SEA","DL",1448,375911,"ANC","SEA","Delta"
"ATL-GSP","DL",153,375896,"ATL","GSP","Delta"
"EWR-MCO","NK",937,375275,"EWR","MCO","Spirit"
"CLT-RIC","AA",257,375097,"CLT","RIC","American"
"FLL-LGA","DL",1076,374555,"FLL","LGA","Delta"
"OGG-SFO","UA",2338,373885,"OGG","SFO","United"
"DAL-LAX","WN",1246,372679,"DAL","LAX","Southwest"
"LAX-OAK","WN",337,372069,"LAX","OAK","Southwest"
"BDL-CLT","AA",644,371386,"BDL","CLT","American"
"DEN-PHX","AA",602,371091,"DEN","PHX","American"
"ATL-HOU","WN",696,369868,"ATL","HOU","Southwest"
"BNA-CLT","AA",328,368761,"BNA","CLT","American"
"AUS-IAH","UA",140,367159,"AUS","IAH","United"
"CLT-SAN","AA",2077,365303,"CLT","SAN","American"
"HNL-LAS","HA",2762,365188,"HNL","LAS","Hawaiian"
"AUS-DAL","WN",189,364155,"AUS","DAL","Southwest"
"ATL-SDF","DL",321,363799,"ATL","SDF","Delta"
"HOU-MSY","WN",302,363664,"HOU","MSY","Southwest"
"CLT-SFO","AA",2296,363210,"CLT","SFO","American"
"ATL-DAL","WN",721,362791,"ATL","DAL","Southwest"
"EWR-MIA","AA",1085,361684,"EWR","MIA","American"
"IAD-ORD","UA",588,361419,"IAD","ORD","United"
"BWI-DAL","WN",1209,361375,"BWI","DAL","Southwest"
"BUR-PHX","WN",369,361165,"BUR","PHX","Southwest"
"DEN-MCI","WN",533,360626,"DEN","MCI","Southwest"
"PHX-SLC","WN",507,359796,"PHX","SLC","Southwest"
"FLL-JFK","DL",1069,359250,"FLL","JFK","Delta"
"DEN-SMF","UA",909,359020,"DEN","SMF","United"
"ATL-PDX","DL",2172,358168,"ATL","PDX","Delta"
"BOS-RSW","B6",1249,357674,"BOS","RSW","Jetblue"
"ATL-IAD","DL",534,357655,"ATL","IAD","Delta"
"DEN-SLC","DL",391,357611,"DEN","SLC","Delta"
"SLC-SMF","DL",532,357177,"SLC","SMF","Delta"
"CLT-SAT","AA",1095,357041,"CLT","SAT","American"
"DFW-STL","AA",550,356901,"DFW","STL","American"
"CLT-JAX","AA",328,354963,"CLT","JAX","American"
"ATL-HOU","DL",696,353770,"ATL","HOU","Delta"
"DTW-LAS","NK",1749,353477,"DTW","LAS","Spirit"
"FLL-PHL","AA",992,353461,"FLL","PHL","American"
"ORD-SEA","UA",1721,352687,"ORD","SEA","United"
"DEN-PDX","WN",991,350283,"DEN","PDX","Southwest"
"MIA-PHX","AA",1972,350242,"MIA","PHX","American"
"FLL-MDW","WN",1167,349398,"FLL","MDW","Southwest"
"BWI-FLL","NK",925,349305,"BWI","FLL","Spirit"
"IAD-MCO","UA",758,349300,"IAD","MCO","United"
"JFK-MIA","DL",1089,348632,"JFK","MIA","Delta"
"DTW-SFO","DL",2079,347995,"DTW","SFO","Delta"
"PHX-SNA","AA",338,346847,"PHX","SNA","American"
"MSP-ORD","UA",334,346245,"MSP","ORD","United"
"BUR-OAK","WN",325,345915,"BUR","OAK","Southwest"
"MSP-SFO","DL",1589,344545,"MSP","SFO","Delta"
"MCO-PHL","NK",861,344287,"MCO","PHL","Spirit"
"PHX-SFO","AA",651,344212,"PHX","SFO","American"
"LAS-SEA","DL",867,342934,"LAS","SEA","Delta"
"DFW-MEM","AA",431,342775,"DFW","MEM","American"
"LGA-MSP","DL",1020,342447,"LGA","MSP","Delta"
"DEN-TPA","WN",1506,341994,"DEN","TPA","Southwest"
"MDW-MSP","WN",349,341772,"MDW","MSP","Southwest"
"LAS-SFO","UA",414,341522,"LAS","SFO","United"
"BWI-MDW","WN",611,340292,"BWI","MDW","Southwest"
"BWI-DFW","AA",1217,340033,"BWI","DFW","American"
"LAX-MDW","WN",1750,339072,"LAX","MDW","Southwest"
"ATL-BWI","WN",577,338911,"ATL","BWI","Southwest"
"ATL-DEN","WN",1199,338835,"ATL","DEN","Southwest"
"ATL-MCO","WN",404,338254,"ATL","MCO","Southwest"
"MSP-TPA","DL",1306,338035,"MSP","TPA","Delta"
"PDX-SFO","UA",550,337951,"PDX","SFO","United"
"LGA-MIA","DL",1096,337523,"LGA","MIA","Delta"
"BNA-PHX","WN",1449,337259,"BNA","PHX","Southwest"
"DEN-PHX","F9",602,336964,"DEN","PHX","Frontier"
"DEN-LGA","UA",1620,336213,"DEN","LGA","United"
"HNL-SEA","AS",2677,336003,"HNL","SEA","Alaska"
"FAI-SEA","AS",1533,335556,"FAI","SEA","Alaska"
"COS-DFW","AA",592,334450,"COS","DFW","American"
"ORD-SFO","AA",1846,333847,"ORD","SFO","American"
"JFK-SJU","DL",1598,333240,"JFK","SJU","Delta"
"DFW-SLC","DL",989,333003,"DFW","SLC","Delta"
"BWI-MCO","NK",787,332445,"BWI","MCO","Spirit"
"IAH-MIA","UA",964,332383,"IAH","MIA","United"
"MCI-MDW","WN",405,331956,"MCI","MDW","Southwest"
"PHX-SJC","WN",621,331550,"PHX","SJC","Southwest"
"AUS-DEN","UA",775,331285,"AUS","DEN","United"
"ATL-DAB","DL",366,331123,"ATL","DAB","Delta"
"DFW-EWR","AA",1372,330434,"DFW","EWR","American"
"PHL-TPA","AA",920,329619,"PHL","TPA","American"
"LAX-SJC","OO",308,329478,"LAX","SJC","Skywest"
"DFW-SEA","AS",1660,329273,"DFW","SEA","Alaska"
"ALB-BWI","WN",289,329108,"ALB","BWI","Southwest"
"SAN-SFO","UA",447,327670,"SAN","SFO","United"
"MSP-SAN","DL",1532,327478,"MSP","SAN","Delta"
"IAH-TPA","UA",787,327313,"IAH","TPA","United"
"ATL-LIT","DL",453,324346,"ATL","LIT","Delta"
"ONT-SEA","AS",956,324337,"ONT","SEA","Alaska"
"BNA-MDW","WN",395,323920,"BNA","MDW","Southwest"
"BWI-RSW","WN",919,322951,"BWI","RSW","Southwest"
"BOS-EWR","UA",200,322337,"BOS","EWR","United"
"PHX-SMF","AA",647,322059,"PHX","SMF","American"
"BOS-ORD","UA",867,321864,"BOS","ORD","United"
"DFW-FLL","NK",1119,321464,"DFW","FLL","Spirit"
"DAL-MCI","WN",461,321232,"DAL","MCI","Southwest"
"BWI-PVD","WN",327,320894,"BWI","PVD","Southwest"
"MSP-PDX","DL",1426,319700,"MSP","PDX","Delta"
"CLT-MSY","AA",651,318794,"CLT","MSY","American"
"AUS-LAS","WN",1090,318653,"AUS","LAS","Southwest"
"JFK-LAS","DL",2248,317701,"JFK","LAS","Delta"
"ORD-SAN","AA",1723,316512,"ORD","SAN","American"
"BOS-LAX","B6",2611,316486,"BOS","LAX","Jetblue"
"ATL-GSO","DL",306,315382,"ATL","GSO","Delta"
"DCA-MCO","AA",759,315131,"DCA","MCO","American"
"DCA-LGA","AA",214,314735,"DCA","LGA","American"
"MCI-PHX","WN",1044,314673,"MCI","PHX","Southwest"
"ATL-GRR","DL",640,314473,"ATL","GRR","Delta"
"CLE-MCO","F9",895,314456,"CLE","MCO","Frontier"
"DAL-STL","WN",546,314197,"DAL","STL","Southwest"
"DEN-DFW","UA",641,312947,"DEN","DFW","United"
"JFK-SEA","DL",2422,312914,"JFK","SEA","Delta"
"SLC-SNA","DL",588,312689,"SLC","SNA","Delta"
"BNA-BWI","WN",587,311652,"BNA","BWI","Southwest"
