"pair","carrier","dist","pass","port1","port2","port1_lat","port1_lon","port2_lat","port2_lon","carrier_name","Color"
"PHX-SLC","AA",507,116907,"PHX","SLC",33.435302,-112.005905,40.785749,-111.979746,"American","#C42D31"
"LAS-MSY","WN",1500,116848,"LAS","MSY",36.08010101,-115.1520004,29.99340057,-90.25800323,"Southwest","#E6A137"
"DEN-DTW","WN",1123,116839,"DEN","DTW",39.86169815,-104.6729965,42.21239853,-83.35340118,"Southwest","#E6A137"
"DTW-MKE","DL",237,116630,"DTW","MKE",42.21239853,-83.35340118,42.94720078,-87.89659882,"Delta","#882537"
"ORD-TUS","AA",1437,116537,"ORD","TUS",41.9786,-87.9048,32.115004,-110.938053,"American","#C42D31"
"LAS-TPA","WN",1984,116389,"LAS","TPA",36.08010101,-115.1520004,27.97550011,-82.53320313,"Southwest","#E6A137"
"ORD-SLC","OO",1250,116310,"ORD","SLC",41.9786,-87.9048,40.785749,-111.979746,"Skywest","#37509A"
"OMA-SLC","OO",840,116303,"OMA","SLC",41.3032,-95.894096,40.785749,-111.979746,"Skywest","#37509A"
"DEN-ONT","F9",819,116249,"DEN","ONT",39.86169815,-104.6729965,34.05599976,-117.6009979,"Frontier","#418369"
"MDW-SJC","WN",1838,116201,"MDW","SJC",41.785999,-87.752403,37.362598,-121.929001,"Southwest","#E6A137"
"SAN-SMF","OO",480,116050,"SAN","SMF",32.73360062,-117.1900024,38.69540024,-121.5910034,"Skywest","#37509A"
"HPN-RSW","B6",1102,115990,"HPN","RSW",41.06700134,-73.70760345,26.53619957,-81.75520325,"Jetblue","#303E71"
"CLT-OMA","AA",913,115989,"CLT","OMA",35.2140007,-80.94309998,41.3032,-95.894096,"American","#C42D31"
"DEN-MIA","F9",1709,115828,"DEN","MIA",39.86169815,-104.6729965,25.79319954,-80.29060364,"Frontier","#418369"
"SAT-SEA","AS",1774,115636,"SAT","SEA",29.533701,-98.469803,47.449001,-122.308998,"Alaska","#202050"
"OGG-SJC","WN",2355,115425,"OGG","SJC",30.898543,-131.431212,37.362598,-121.929001,"Southwest","#E6A137"
"DFW-EYW","AA",1089,115404,"DFW","EYW",32.896801,-97.038002,24.556101,-81.759598,"American","#C42D31"
"ATL-ORD","AA",606,115340,"ATL","ORD",33.6367,-84.428101,41.9786,-87.9048,"American","#C42D31"
"CMH-PHX","WN",1670,115326,"CMH","PHX",39.998001,-82.891899,33.435302,-112.005905,"Southwest","#E6A137"
"DEN-RAP","OO",300,115230,"DEN","RAP",39.86169815,-104.6729965,44.04529953,-103.0569992,"Skywest","#37509A"
"BOS-LAX","UA",2611,115188,"BOS","LAX",42.3643,-71.005203,33.942501,-118.407997,"United","#3782CC"
"ATL-MEM","WN",332,115106,"ATL","MEM",33.6367,-84.428101,35.04240036,-89.97669983,"Southwest","#E6A137"
"BWI-SEA","AS",2335,115090,"BWI","SEA",39.1754,-76.668297,47.449001,-122.308998,"Alaska","#202050"
"SEA-TUS","AS",1216,115048,"SEA","TUS",47.449001,-122.308998,32.115004,-110.938053,"Alaska","#202050"
"MSP-RDU","DL",980,115001,"MSP","RDU",44.882,-93.221802,35.87760162,-78.78749847,"Delta","#882537"
"BOS-JAX","B6",1010,114941,"BOS","JAX",42.3643,-71.005203,30.49410057,-81.68789673,"Jetblue","#303E71"
"DTW-LGA","NK",502,114936,"DTW","LGA",42.21239853,-83.35340118,40.777199,-73.872597,"Spirit","#FDEB03"
"SGU-SLC","OO",272,114849,"SGU","SLC",37.036389,-113.510306,40.785749,-111.979746,"Skywest","#37509A"
"OAK-SLC","DL",588,114848,"OAK","SLC",37.721298,-122.221001,40.785749,-111.979746,"Delta","#882537"
"FLL-LAX","NK",2343,114786,"FLL","LAX",26.072599,-80.152702,33.942501,-118.407997,"Spirit","#FDEB03"
"DFW-SAF","OO",551,114702,"DFW","SAF",32.896801,-97.038002,35.61709976,-106.0889969,"Skywest","#37509A"
"SAT-SLC","DL",1087,114660,"SAT","SLC",29.533701,-98.469803,40.785749,-111.979746,"Delta","#882537"
"MKE-PHX","AA",1460,114595,"MKE","PHX",42.94720078,-87.89659882,33.435302,-112.005905,"American","#C42D31"
"RNO-SAN","WN",488,114510,"RNO","SAN",39.49909973,-119.7679977,32.73360062,-117.1900024,"Southwest","#E6A137"
"MDW-SRQ","WN",1035,114380,"MDW","SRQ",41.785999,-87.752403,27.395399,-82.554398,"Southwest","#E6A137"
"MCI-TPA","WN",1048,114322,"MCI","TPA",39.2976,-94.713898,27.97550011,-82.53320313,"Southwest","#E6A137"
"AUS-JFK","AA",1521,114121,"AUS","JFK",30.197535,-97.662015,40.639801,-73.7789,"American","#C42D31"
"DTW-MSY","DL",926,114112,"DTW","MSY",42.21239853,-83.35340118,29.99340057,-90.25800323,"Delta","#882537"
"DAL-SMF","WN",1442,114063,"DAL","SMF",32.847099,-96.851799,38.69540024,-121.5910034,"Southwest","#E6A137"
"HNL-PDX","HA",2603,114049,"HNL","PDX",31.32062,-132.924228,45.58869934,-122.5979996,"Hawaiian","#A1418E"
"BUF-MCO","F9",1011,114014,"BUF","MCO",42.94049835,-78.73220062,28.42939949,-81.30899811,"Frontier","#418369"
"DEN-SJC","UA",948,113796,"DEN","SJC",39.86169815,-104.6729965,37.362598,-121.929001,"United","#3782CC"
"DEN-IDA","OO",458,113780,"DEN","IDA",39.86169815,-104.6729965,43.514599,-112.070999,"Skywest","#37509A"
"AUS-FLL","WN",1105,113468,"AUS","FLL",30.197535,-97.662015,26.072599,-80.152702,"Southwest","#E6A137"
"ATL-CMH","WN",447,113449,"ATL","CMH",33.6367,-84.428101,39.998001,-82.891899,"Southwest","#E6A137"
"EWR-RSW","B6",1068,113355,"EWR","RSW",40.692501,-74.168701,26.53619957,-81.75520325,"Jetblue","#303E71"
"EWR-SLC","DL",1969,113280,"EWR","SLC",40.692501,-74.168701,40.785749,-111.979746,"Delta","#882537"
"MSO-SLC","OO",436,113121,"MSO","SLC",46.91630173,-114.0910034,40.785749,-111.979746,"Skywest","#37509A"
"MKE-MSP","DL",297,113050,"MKE","MSP",42.94720078,-87.89659882,44.882,-93.221802,"Delta","#882537"
"AUS-STL","WN",721,113002,"AUS","STL",30.197535,-97.662015,38.748697,-90.370003,"Southwest","#E6A137"
"BDL-DFW","AA",1471,112987,"BDL","DFW",41.93851,-72.688066,32.896801,-97.038002,"American","#C42D31"
"DEN-JFK","DL",1626,112964,"DEN","JFK",39.86169815,-104.6729965,40.639801,-73.7789,"Delta","#882537"
"MSP-PHL","DL",980,112812,"MSP","PHL",44.882,-93.221802,39.87189865,-75.2410965,"Delta","#882537"
"COS-LAS","WN",604,112580,"COS","LAS",38.805801,-104.700996,36.08010101,-115.1520004,"Southwest","#E6A137"
"ANC-DEN","UA",2405,112461,"ANC","DEN",41.1744,-134.996002,39.86169815,-104.6729965,"United","#3782CC"
"BNA-VPS","WN",389,112271,"BNA","VPS",36.12450027,-86.67819977,30.4832,-86.525398,"Southwest","#E6A137"
"DEN-TPA","F9",1506,112242,"DEN","TPA",39.86169815,-104.6729965,27.97550011,-82.53320313,"Frontier","#418369"
"LAS-MCI","NK",1139,112176,"LAS","MCI",36.08010101,-115.1520004,39.2976,-94.713898,"Spirit","#FDEB03"
"DCA-STL","WN",719,112160,"DCA","STL",38.8521,-77.037697,38.748697,-90.370003,"Southwest","#E6A137"
"CLE-MCO","UA",895,112125,"CLE","MCO",41.4117012,-81.84980011,28.42939949,-81.30899811,"United","#3782CC"
"DTW-GRR","DL",120,111858,"DTW","GRR",42.21239853,-83.35340118,42.88079834,-85.52279663,"Delta","#882537"
"CVG-MDW","WN",249,111768,"CVG","MDW",39.048801,-84.667801,41.785999,-87.752403,"Southwest","#E6A137"
"EWR-LAS","NK",2227,111738,"EWR","LAS",40.692501,-74.168701,36.08010101,-115.1520004,"Spirit","#FDEB03"
"DEN-JFK","B6",1626,111716,"DEN","JFK",39.86169815,-104.6729965,40.639801,-73.7789,"Jetblue","#303E71"
"ATL-TYS","DL",152,111668,"ATL","TYS",33.6367,-84.428101,35.811001,-83.994003,"Delta","#882537"
"ORD-SNA","UA",1726,111656,"ORD","SNA",41.9786,-87.9048,33.675701,-117.867996,"United","#3782CC"
"DCA-LAX","AS",2311,111638,"DCA","LAX",38.8521,-77.037697,33.942501,-118.407997,"Alaska","#202050"
"DEN-ONT","UA",819,111617,"DEN","ONT",39.86169815,-104.6729965,34.05599976,-117.6009979,"United","#3782CC"
"ONT-SLC","OO",558,111171,"ONT","SLC",34.05599976,-117.6009979,40.785749,-111.979746,"Skywest","#37509A"
"SLC-SUN","OO",222,111084,"SLC","SUN",40.785749,-111.979746,43.50439835,-114.2959976,"Skywest","#37509A"
"ATL-FLL","B6",581,110961,"ATL","FLL",33.6367,-84.428101,26.072599,-80.152702,"Jetblue","#303E71"
"LAS-OKC","WN",986,110876,"LAS","OKC",36.08010101,-115.1520004,35.393101,-97.6007,"Southwest","#E6A137"
"CLT-IND","AA",427,110681,"CLT","IND",35.2140007,-80.94309998,39.7173,-86.294403,"American","#C42D31"
"ATL-LGA","F9",762,110593,"ATL","LGA",33.6367,-84.428101,40.777199,-73.872597,"Frontier","#418369"
"DEN-RDU","F9",1436,110451,"DEN","RDU",39.86169815,-104.6729965,35.87760162,-78.78749847,"Frontier","#418369"
"CVG-RSW","DL",879,110387,"CVG","RSW",39.048801,-84.667801,26.53619957,-81.75520325,"Delta","#882537"
"BNA-CMH","WN",337,110296,"BNA","CMH",36.12450027,-86.67819977,39.998001,-82.891899,"Southwest","#E6A137"
"LAS-PDX","F9",763,110141,"LAS","PDX",36.08010101,-115.1520004,45.58869934,-122.5979996,"Frontier","#418369"
"DEN-MIA","UA",1709,110101,"DEN","MIA",39.86169815,-104.6729965,25.79319954,-80.29060364,"United","#3782CC"
"KOA-PHX","AA",2860,109941,"KOA","PHX",29.738783,-131.045603,33.435302,-112.005905,"American","#C42D31"
