"pair","carrier","dist","pass","port1","port2","port1_lat","port1_lon","port2_lat","port2_lon","carrier_name","Color"
"ATL-MCO","DL",404,1557495,"ATL","MCO",33.6367,-84.428101,28.42939949,-81.30899811,"Delta","#882537"
"DFW-LAX","AA",1235,1504019,"DFW","LAX",32.896801,-97.038002,33.942501,-118.407997,"American","#C42D31"
"ANC-SEA","AS",1448,1269224,"ANC","SEA",41.1744,-134.996002,47.449001,-122.308998,"Alaska","#202050"
"ATL-LAX","DL",1947,1255438,"ATL","LAX",33.6367,-84.428101,33.942501,-118.407997,"Delta","#882537"
"ATL-TPA","DL",406,1191641,"ATL","TPA",33.6367,-84.428101,27.97550011,-82.53320313,"Delta","#882537"
"ATL-FLL","DL",581,1184824,"ATL","FLL",33.6367,-84.428101,26.072599,-80.152702,"Delta","#882537"
"DFW-MIA","AA",1121,1180835,"DFW","MIA",32.896801,-97.038002,25.79319954,-80.29060364,"American","#C42D31"
"DFW-LAS","AA",1055,1131169,"DFW","LAS",32.896801,-97.038002,36.08010101,-115.1520004,"American","#C42D31"
"ATL-DTW","DL",594,1105853,"ATL","DTW",33.6367,-84.428101,42.21239853,-83.35340118,"Delta","#882537"
"ATL-SLC","DL",1590,1103286,"ATL","SLC",33.6367,-84.428101,40.785749,-111.979746,"Delta","#882537"
"DFW-PHX","AA",868,1090892,"DFW","PHX",32.896801,-97.038002,33.435302,-112.005905,"American","#C42D31"
"CLT-DFW","AA",936,1069587,"CLT","DFW",35.2140007,-80.94309998,32.896801,-97.038002,"American","#C42D31"
"LAX-MIA","AA",2342,1057660,"LAX","MIA",33.942501,-118.407997,25.79319954,-80.29060364,"American","#C42D31"
"ATL-MSP","DL",907,1056492,"ATL","MSP",33.6367,-84.428101,44.882,-93.221802,"Delta","#882537"
"CLT-MCO","AA",468,1047494,"CLT","MCO",35.2140007,-80.94309998,28.42939949,-81.30899811,"American","#C42D31"
"JFK-MIA","AA",1089,1047032,"JFK","MIA",40.639801,-73.7789,25.79319954,-80.29060364,"American","#C42D31"
"DFW-ORD","AA",801,1045977,"DFW","ORD",32.896801,-97.038002,41.9786,-87.9048,"American","#C42D31"
"DEN-IAH","UA",862,1045398,"DEN","IAH",39.86169815,-104.6729965,29.9843998,-95.34140015,"United","#3782CC"
"ATL-BOS","DL",946,1039401,"ATL","BOS",33.6367,-84.428101,42.3643,-71.005203,"Delta","#882537"
"HNL-OGG","HA",100,1026361,"HNL","OGG",31.32062,-132.924228,30.898543,-131.431212,"Hawaiian","#A1418E"
"DEN-ORD","UA",888,1017041,"DEN","ORD",39.86169815,-104.6729965,41.9786,-87.9048,"United","#3782CC"
"ATL-MIA","DL",594,977684,"ATL","MIA",33.6367,-84.428101,25.79319954,-80.29060364,"Delta","#882537"
"ATL-LGA","DL",762,977463,"ATL","LGA",33.6367,-84.428101,40.777199,-73.872597,"Delta","#882537"
"DFW-MCO","AA",985,964107,"DFW","MCO",32.896801,-97.038002,28.42939949,-81.30899811,"American","#C42D31"
"ATL-JAX","DL",270,955095,"ATL","JAX",33.6367,-84.428101,30.49410057,-81.68789673,"Delta","#882537"
"DFW-SAT","AA",247,947752,"DFW","SAT",32.896801,-97.038002,29.533701,-98.469803,"American","#C42D31"
"IAH-ORD","UA",925,927563,"IAH","ORD",29.9843998,-95.34140015,41.9786,-87.9048,"United","#3782CC"
"JFK-LAX","DL",2475,923062,"JFK","LAX",40.639801,-73.7789,33.942501,-118.407997,"Delta","#882537"
"ATL-LAS","DL",1747,920699,"ATL","LAS",33.6367,-84.428101,36.08010101,-115.1520004,"Delta","#882537"
"DFW-SAN","AA",1171,916250,"DFW","SAN",32.896801,-97.038002,32.73360062,-117.1900024,"American","#C42D31"
"DEN-DFW","AA",641,915998,"DEN","DFW",39.86169815,-104.6729965,32.896801,-97.038002,"American","#C42D31"
"AUS-DFW","AA",190,906674,"AUS","DFW",30.197535,-97.662015,32.896801,-97.038002,"American","#C42D31"
"CLT-MIA","AA",650,894459,"CLT","MIA",35.2140007,-80.94309998,25.79319954,-80.29060364,"American","#C42D31"
"ATL-RDU","DL",356,880452,"ATL","RDU",33.6367,-84.428101,35.87760162,-78.78749847,"Delta","#882537"
"ORD-PHX","AA",1440,852604,"ORD","PHX",41.9786,-87.9048,33.435302,-112.005905,"American","#C42D31"
"IAH-LAX","UA",1379,851812,"IAH","LAX",29.9843998,-95.34140015,33.942501,-118.407997,"United","#3782CC"
"LAX-SEA","AS",954,850556,"LAX","SEA",33.942501,-118.407997,47.449001,-122.308998,"Alaska","#202050"
"EWR-MCO","UA",937,846420,"EWR","MCO",40.692501,-74.168701,28.42939949,-81.30899811,"United","#3782CC"
"CLT-TPA","AA",507,844770,"CLT","TPA",35.2140007,-80.94309998,27.97550011,-82.53320313,"American","#C42D31"
"LAX-ORD","AA",1744,828771,"LAX","ORD",33.942501,-118.407997,41.9786,-87.9048,"American","#C42D31"
"LAX-ORD","UA",1744,825975,"LAX","ORD",33.942501,-118.407997,41.9786,-87.9048,"United","#3782CC"
"CLT-ORD","AA",599,822980,"CLT","ORD",35.2140007,-80.94309998,41.9786,-87.9048,"American","#C42D31"
"ORD-SFO","UA",1846,819852,"ORD","SFO",41.9786,-87.9048,37.61899948,-122.375,"United","#3782CC"
"ATL-PBI","DL",545,813857,"ATL","PBI",33.6367,-84.428101,26.68320084,-80.09559631,"Delta","#882537"
"DEN-PHX","WN",602,812886,"DEN","PHX",39.86169815,-104.6729965,33.435302,-112.005905,"Southwest","#E6A137"
"BOS-CLT","AA",728,802230,"BOS","CLT",42.3643,-71.005203,35.2140007,-80.94309998,"American","#C42D31"
"MIA-ORD","AA",1197,800461,"MIA","ORD",25.79319954,-80.29060364,41.9786,-87.9048,"American","#C42D31"
"PHX-SEA","AS",1107,799948,"PHX","SEA",33.435302,-112.005905,47.449001,-122.308998,"Alaska","#202050"
"EWR-IAH","UA",1400,797240,"EWR","IAH",40.692501,-74.168701,29.9843998,-95.34140015,"United","#3782CC"
"ATL-DEN","DL",1199,791923,"ATL","DEN",33.6367,-84.428101,39.86169815,-104.6729965,"Delta","#882537"
"DFW-LGA","AA",1389,780326,"DFW","LGA",32.896801,-97.038002,40.777199,-73.872597,"American","#C42D31"
"CLT-PHX","AA",1773,777466,"CLT","PHX",35.2140007,-80.94309998,33.435302,-112.005905,"American","#C42D31"
"CLT-PHL","AA",449,776884,"CLT","PHL",35.2140007,-80.94309998,39.87189865,-75.2410965,"American","#C42D31"
"EWR-SFO","UA",2565,773632,"EWR","SFO",40.692501,-74.168701,37.61899948,-122.375,"United","#3782CC"
"ATL-RSW","DL",515,767841,"ATL","RSW",33.6367,-84.428101,26.53619957,-81.75520325,"Delta","#882537"
"DFW-PHL","AA",1303,765812,"DFW","PHL",32.896801,-97.038002,39.87189865,-75.2410965,"American","#C42D31"
"CLT-LAX","AA",2125,761434,"CLT","LAX",35.2140007,-80.94309998,33.942501,-118.407997,"American","#C42D31"
"LAS-SEA","AS",867,758058,"LAS","SEA",36.08010101,-115.1520004,47.449001,-122.308998,"Alaska","#202050"
"ATL-DCA","DL",547,754902,"ATL","DCA",33.6367,-84.428101,38.8521,-77.037697,"Delta","#882537"
"EWR-LAX","UA",2454,751821,"EWR","LAX",40.692501,-74.168701,33.942501,-118.407997,"United","#3782CC"
"IAH-SFO","UA",1635,747527,"IAH","SFO",29.9843998,-95.34140015,37.61899948,-122.375,"United","#3782CC"
"ATL-DFW","DL",731,739052,"ATL","DFW",33.6367,-84.428101,32.896801,-97.038002,"Delta","#882537"
"ATL-CHS","DL",259,738662,"ATL","CHS",33.6367,-84.428101,32.898602,-80.040497,"Delta","#882537"
"ATL-EWR","DL",746,738275,"ATL","EWR",33.6367,-84.428101,40.692501,-74.168701,"Delta","#882537"
"MSP-PHX","DL",1276,737657,"MSP","PHX",44.882,-93.221802,33.435302,-112.005905,"Delta","#882537"
"BWI-MCO","WN",787,734618,"BWI","MCO",39.1754,-76.668297,28.42939949,-81.30899811,"Southwest","#E6A137"
"LGA-MIA","AA",1096,725918,"LGA","MIA",40.777199,-73.872597,25.79319954,-80.29060364,"American","#C42D31"
"MCO-MDW","WN",990,725455,"MCO","MDW",28.42939949,-81.30899811,41.785999,-87.752403,"Southwest","#E6A137"
"LAS-MDW","WN",1521,723006,"LAS","MDW",36.08010101,-115.1520004,41.785999,-87.752403,"Southwest","#E6A137"
"ATL-SEA","DL",2182,722148,"ATL","SEA",33.6367,-84.428101,47.449001,-122.308998,"Delta","#882537"
"JFK-MCO","B6",944,719999,"JFK","MCO",40.639801,-73.7789,28.42939949,-81.30899811,"Jetblue","#303E71"
"CLT-FLL","AA",632,714908,"CLT","FLL",35.2140007,-80.94309998,26.072599,-80.152702,"American","#C42D31"
"DEN-EWR","UA",1605,709417,"DEN","EWR",39.86169815,-104.6729965,40.692501,-74.168701,"United","#3782CC"
"ATL-PHL","DL",666,706430,"ATL","PHL",33.6367,-84.428101,39.87189865,-75.2410965,"Delta","#882537"
"ATL-BWI","DL",577,705441,"ATL","BWI",33.6367,-84.428101,39.1754,-76.668297,"Delta","#882537"
"ATL-AUS","DL",813,703790,"ATL","AUS",33.6367,-84.428101,30.197535,-97.662015,"Delta","#882537"
"DTW-MCO","DL",957,700647,"DTW","MCO",42.21239853,-83.35340118,28.42939949,-81.30899811,"Delta","#882537"
"SAN-SEA","AS",1050,699611,"SAN","SEA",32.73360062,-117.1900024,47.449001,-122.308998,"Alaska","#202050"
"ATL-BNA","DL",214,698390,"ATL","BNA",33.6367,-84.428101,36.12450027,-86.67819977,"Delta","#882537"
"FLL-JFK","B6",1069,696759,"FLL","JFK",26.072599,-80.152702,40.639801,-73.7789,"Jetblue","#303E71"
"DFW-SNA","AA",1205,695835,"DFW","SNA",32.896801,-97.038002,33.675701,-117.867996,"American","#C42D31"
"MCO-MIA","AA",192,694839,"MCO","MIA",28.42939949,-81.30899811,25.79319954,-80.29060364,"American","#C42D31"
"DFW-TPA","AA",929,692444,"DFW","TPA",32.896801,-97.038002,27.97550011,-82.53320313,"American","#C42D31"
"ATL-MSY","DL",425,690447,"ATL","MSY",33.6367,-84.428101,29.99340057,-90.25800323,"Delta","#882537"
"HNL-KOA","HA",163,686943,"HNL","KOA",31.32062,-132.924228,29.738783,-131.045603,"Hawaiian","#A1418E"
"DEN-LAX","UA",862,684375,"DEN","LAX",39.86169815,-104.6729965,33.942501,-118.407997,"United","#3782CC"
"ATL-PHX","DL",1587,683974,"ATL","PHX",33.6367,-84.428101,33.435302,-112.005905,"Delta","#882537"
"MDW-PHX","WN",1444,678630,"MDW","PHX",41.785999,-87.752403,33.435302,-112.005905,"Southwest","#E6A137"
"DFW-SFO","AA",1464,678162,"DFW","SFO",32.896801,-97.038002,37.61899948,-122.375,"American","#C42D31"
"DAL-DEN","WN",651,676241,"DAL","DEN",32.847099,-96.851799,39.86169815,-104.6729965,"Southwest","#E6A137"
"DEN-LAS","WN",628,672470,"DEN","LAS",39.86169815,-104.6729965,36.08010101,-115.1520004,"Southwest","#E6A137"
"MIA-PHL","AA",1013,672239,"MIA","PHL",25.79319954,-80.29060364,39.87189865,-75.2410965,"American","#C42D31"
"DCA-MIA","AA",919,670523,"DCA","MIA",38.8521,-77.037697,25.79319954,-80.29060364,"American","#C42D31"
"LAX-SLC","DL",590,668757,"LAX","SLC",33.942501,-118.407997,40.785749,-111.979746,"Delta","#882537"
"EWR-ORD","UA",719,665048,"EWR","ORD",40.692501,-74.168701,41.9786,-87.9048,"United","#3782CC"
"CLT-RDU","AA",130,661742,"CLT","RDU",35.2140007,-80.94309998,35.87760162,-78.78749847,"American","#C42D31"
"DFW-SEA","AA",1660,659143,"DFW","SEA",32.896801,-97.038002,47.449001,-122.308998,"American","#C42D31"
"BNA-DFW","AA",631,657574,"BNA","DFW",36.12450027,-86.67819977,32.896801,-97.038002,"American","#C42D31"
"HNL-LIH","HA",102,657119,"HNL","LIH",31.32062,-132.924228,31.976,-134.339005,"Hawaiian","#A1418E"
"DAL-HOU","WN",239,655672,"DAL","HOU",32.847099,-96.851799,29.645399,-95.2789,"Southwest","#E6A137"
"ATL-DFW","AA",731,654464,"ATL","DFW",33.6367,-84.428101,32.896801,-97.038002,"American","#C42D31"
"CLT-LAS","AA",1916,652066,"CLT","LAS",35.2140007,-80.94309998,36.08010101,-115.1520004,"American","#C42D31"
"LAS-MSP","DL",1299,650978,"LAS","MSP",36.08010101,-115.1520004,44.882,-93.221802,"Delta","#882537"
"ATL-IND","DL",432,650605,"ATL","IND",33.6367,-84.428101,39.7173,-86.294403,"Delta","#882537"
"ATL-ORD","DL",606,649756,"ATL","ORD",33.6367,-84.428101,41.9786,-87.9048,"Delta","#882537"
"BOS-MIA","AA",1258,649315,"BOS","MIA",42.3643,-71.005203,25.79319954,-80.29060364,"American","#C42D31"
"DAL-PHX","WN",879,649018,"DAL","PHX",32.847099,-96.851799,33.435302,-112.005905,"Southwest","#E6A137"
"LAX-PHX","AA",370,648457,"LAX","PHX",33.942501,-118.407997,33.435302,-112.005905,"American","#C42D31"
"IAH-MCO","UA",854,640489,"IAH","MCO",29.9843998,-95.34140015,28.42939949,-81.30899811,"United","#3782CC"
"EWR-FLL","UA",1065,635124,"EWR","FLL",40.692501,-74.168701,26.072599,-80.152702,"United","#3782CC"
"ATL-MEM","DL",332,633471,"ATL","MEM",33.6367,-84.428101,35.04240036,-89.97669983,"Delta","#882537"
"DEN-SFO","UA",967,632993,"DEN","SFO",39.86169815,-104.6729965,37.61899948,-122.375,"United","#3782CC"
"HNL-SFO","UA",2398,632054,"HNL","SFO",31.32062,-132.924228,37.61899948,-122.375,"United","#3782CC"
"ATL-ORF","DL",516,630153,"ATL","ORF",33.6367,-84.428101,36.8946,-76.201202,"Delta","#882537"
"DTW-LAX","DL",1979,627901,"DTW","LAX",42.21239853,-83.35340118,33.942501,-118.407997,"Delta","#882537"
"DFW-SLC","AA",989,626174,"DFW","SLC",32.896801,-97.038002,40.785749,-111.979746,"American","#C42D31"
"ATL-RIC","DL",481,623872,"ATL","RIC",33.6367,-84.428101,37.50519943,-77.31970215,"Delta","#882537"
"DCA-DFW","AA",1192,620879,"DCA","DFW",38.8521,-77.037697,32.896801,-97.038002,"American","#C42D31"
"CLT-EWR","AA",529,619836,"CLT","EWR",35.2140007,-80.94309998,40.692501,-74.168701,"American","#C42D31"
"CLT-LGA","AA",544,617833,"CLT","LGA",35.2140007,-80.94309998,40.777199,-73.872597,"American","#C42D31"
"ATL-IAH","DL",689,615152,"ATL","IAH",33.6367,-84.428101,29.9843998,-95.34140015,"Delta","#882537"
"DFW-ONT","AA",1188,608321,"DFW","ONT",32.896801,-97.038002,34.05599976,-117.6009979,"American","#C42D31"
"LAS-PHX","WN",255,606046,"LAS","PHX",36.08010101,-115.1520004,33.435302,-112.005905,"Southwest","#E6A137"
"ATL-CVG","DL",373,604108,"ATL","CVG",33.6367,-84.428101,39.048801,-84.667801,"Delta","#882537"
"LAS-OAK","WN",407,602649,"LAS","OAK",36.08010101,-115.1520004,37.721298,-122.221001,"Southwest","#E6A137"
"ATL-SFO","DL",2139,602324,"ATL","SFO",33.6367,-84.428101,37.61899948,-122.375,"Delta","#882537"
"ATL-PNS","DL",271,598654,"ATL","PNS",33.6367,-84.428101,30.4734,-87.1866,"Delta","#882537"
"DAL-LAS","WN",1067,596778,"DAL","LAS",32.847099,-96.851799,36.08010101,-115.1520004,"Southwest","#E6A137"
"DTW-LAS","DL",1749,593248,"DTW","LAS",42.21239853,-83.35340118,36.08010101,-115.1520004,"Delta","#882537"
"MCO-PHL","AA",861,593078,"MCO","PHL",28.42939949,-81.30899811,39.87189865,-75.2410965,"American","#C42D31"
"MCO-ORD","UA",1005,591298,"MCO","ORD",28.42939949,-81.30899811,41.9786,-87.9048,"United","#3782CC"
"BOS-DFW","AA",1562,590622,"BOS","DFW",42.3643,-71.005203,32.896801,-97.038002,"American","#C42D31"
"JFK-LAX","B6",2475,589792,"JFK","LAX",40.639801,-73.7789,33.942501,-118.407997,"Jetblue","#303E71"
"DEN-IAD","UA",1452,589009,"DEN","IAD",39.86169815,-104.6729965,38.9445,-77.455803,"United","#3782CC"
"LAX-MSP","DL",1535,582691,"LAX","MSP",33.942501,-118.407997,44.882,-93.221802,"Delta","#882537"
"IAH-LAS","UA",1222,581832,"IAH","LAS",29.9843998,-95.34140015,36.08010101,-115.1520004,"United","#3782CC"
"CLT-RSW","AA",600,580442,"CLT","RSW",35.2140007,-80.94309998,26.53619957,-81.75520325,"American","#C42D31"
"CLT-DEN","AA",1337,578147,"CLT","DEN",35.2140007,-80.94309998,39.86169815,-104.6729965,"American","#C42D31"
"LAX-SFO","OO",337,576311,"LAX","SFO",33.942501,-118.407997,37.61899948,-122.375,"Skywest","#37509A"
"ATL-SRQ","DL",444,573440,"ATL","SRQ",33.6367,-84.428101,27.395399,-82.554398,"Delta","#882537"
"DEN-MDW","WN",895,573214,"DEN","MDW",39.86169815,-104.6729965,41.785999,-87.752403,"Southwest","#E6A137"
"SEA-SLC","DL",689,572833,"SEA","SLC",47.449001,-122.308998,40.785749,-111.979746,"Delta","#882537"
"SAN-SMF","WN",480,569578,"SAN","SMF",32.73360062,-117.1900024,38.69540024,-121.5910034,"Southwest","#E6A137"
"ATL-MCI","DL",692,568757,"ATL","MCI",33.6367,-84.428101,39.2976,-94.713898,"Delta","#882537"
"DFW-TUS","AA",813,566666,"DFW","TUS",32.896801,-97.038002,32.115004,-110.938053,"American","#C42D31"
"ATL-FLL","NK",581,565679,"ATL","FLL",33.6367,-84.428101,26.072599,-80.152702,"Spirit","#FDEB03"
"ATL-SAT","DL",874,563604,"ATL","SAT",33.6367,-84.428101,29.533701,-98.469803,"Delta","#882537"
"ATL-CMH","DL",447,562524,"ATL","CMH",33.6367,-84.428101,39.998001,-82.891899,"Delta","#882537"
"DFW-IAH","AA",224,561420,"DFW","IAH",32.896801,-97.038002,29.9843998,-95.34140015,"American","#C42D31"
"ATL-JFK","DL",760,560937,"ATL","JFK",33.6367,-84.428101,40.639801,-73.7789,"Delta","#882537"
"DFW-MSY","AA",447,560433,"DFW","MSY",32.896801,-97.038002,29.99340057,-90.25800323,"American","#C42D31"
"FLL-LGA","NK",1076,559386,"FLL","LGA",26.072599,-80.152702,40.777199,-73.872597,"Spirit","#FDEB03"
"DFW-FLL","AA",1119,559361,"DFW","FLL",32.896801,-97.038002,26.072599,-80.152702,"American","#C42D31"
"LAS-SAN","WN",258,556477,"LAS","SAN",36.08010101,-115.1520004,32.73360062,-117.1900024,"Southwest","#E6A137"
"DFW-ELP","AA",551,553027,"DFW","ELP",32.896801,-97.038002,31.80719948,-106.3779984,"American","#C42D31"
"EWR-MIA","UA",1085,552775,"EWR","MIA",40.692501,-74.168701,25.79319954,-80.29060364,"United","#3782CC"
"ATL-CLE","DL",554,552202,"ATL","CLE",33.6367,-84.428101,41.4117012,-81.84980011,"Delta","#882537"
"PDX-SEA","AS",129,550546,"PDX","SEA",45.58869934,-122.5979996,47.449001,-122.308998,"Alaska","#202050"
"MCO-MSP","DL",1310,548578,"MCO","MSP",28.42939949,-81.30899811,44.882,-93.221802,"Delta","#882537"
"LAS-SMF","WN",397,548069,"LAS","SMF",36.08010101,-115.1520004,38.69540024,-121.5910034,"Southwest","#E6A137"
"BOS-MCO","B6",1121,546705,"BOS","MCO",42.3643,-71.005203,28.42939949,-81.30899811,"Jetblue","#303E71"
"DEN-HOU","WN",883,545245,"DEN","HOU",39.86169815,-104.6729965,29.645399,-95.2789,"Southwest","#E6A137"
"HNL-ITO","HA",216,543028,"HNL","ITO",31.32062,-132.924228,29.721399,-130.048004,"Hawaiian","#A1418E"
"EWR-PBI","UA",1023,542198,"EWR","PBI",40.692501,-74.168701,26.68320084,-80.09559631,"United","#3782CC"
"PHX-SAN","WN",304,539245,"PHX","SAN",33.435302,-112.005905,32.73360062,-117.1900024,"Southwest","#E6A137"
"ATL-BHM","DL",134,538043,"ATL","BHM",33.6367,-84.428101,33.562901,-86.753502,"Delta","#882537"
"DEN-MSP","DL",680,537258,"DEN","MSP",39.86169815,-104.6729965,44.882,-93.221802,"Delta","#882537"
"EWR-TPA","UA",997,531357,"EWR","TPA",40.692501,-74.168701,27.97550011,-82.53320313,"United","#3782CC"
"ATL-PIT","DL",526,531340,"ATL","PIT",33.6367,-84.428101,40.49150085,-80.23290253,"Delta","#882537"
"SEA-SNA","AS",978,531215,"SEA","SNA",47.449001,-122.308998,33.675701,-117.867996,"Alaska","#202050"
"DEN-LAS","UA",628,526334,"DEN","LAS",39.86169815,-104.6729965,36.08010101,-115.1520004,"United","#3782CC"
"BWI-TPA","WN",842,526236,"BWI","TPA",39.1754,-76.668297,27.97550011,-82.53320313,"Southwest","#E6A137"
"ORD-PHL","AA",678,526191,"ORD","PHL",41.9786,-87.9048,39.87189865,-75.2410965,"American","#C42D31"
"LAX-PHL","AA",2402,524466,"LAX","PHL",33.942501,-118.407997,39.87189865,-75.2410965,"American","#C42D31"
"DAL-MDW","WN",793,523325,"DAL","MDW",32.847099,-96.851799,41.785999,-87.752403,"Southwest","#E6A137"
"ATL-SAV","DL",214,518824,"ATL","SAV",33.6367,-84.428101,32.12760162,-81.20210266,"Delta","#882537"
"MSP-SEA","DL",1399,518755,"MSP","SEA",44.882,-93.221802,47.449001,-122.308998,"Delta","#882537"
"DTW-MSP","DL",528,516808,"DTW","MSP",42.21239853,-83.35340118,44.882,-93.221802,"Delta","#882537"
"BWI-FLL","WN",925,512938,"BWI","FLL",39.1754,-76.668297,26.072599,-80.152702,"Southwest","#E6A137"
"ATL-SAN","DL",1892,512517,"ATL","SAN",33.6367,-84.428101,32.73360062,-117.1900024,"Delta","#882537"
"LAS-ORD","AA",1514,511305,"LAS","ORD",36.08010101,-115.1520004,41.9786,-87.9048,"American","#C42D31"
"DAL-MCO","WN",973,511067,"DAL","MCO",32.847099,-96.851799,28.42939949,-81.30899811,"Southwest","#E6A137"
"DEN-MCO","UA",1546,510615,"DEN","MCO",39.86169815,-104.6729965,28.42939949,-81.30899811,"United","#3782CC"
"DTW-FLL","DL",1127,505672,"DTW","FLL",42.21239853,-83.35340118,26.072599,-80.152702,"Delta","#882537"
"LAX-SEA","DL",954,502953,"LAX","SEA",33.942501,-118.407997,47.449001,-122.308998,"Delta","#882537"
"ATL-STL","DL",484,502591,"ATL","STL",33.6367,-84.428101,38.748697,-90.370003,"Delta","#882537"
"DEN-SAN","WN",853,501434,"DEN","SAN",39.86169815,-104.6729965,32.73360062,-117.1900024,"Southwest","#E6A137"
"OAK-PHX","WN",646,500829,"OAK","PHX",37.721298,-122.221001,33.435302,-112.005905,"Southwest","#E6A137"
"LAS-LAX","WN",236,497685,"LAS","LAX",36.08010101,-115.1520004,33.942501,-118.407997,"Southwest","#E6A137"
"EWR-MCO","B6",937,495038,"EWR","MCO",40.692501,-74.168701,28.42939949,-81.30899811,"Jetblue","#303E71"
"CLT-PBI","AA",590,493835,"CLT","PBI",35.2140007,-80.94309998,26.68320084,-80.09559631,"American","#C42D31"
"DFW-MCI","AA",460,489516,"DFW","MCI",32.896801,-97.038002,39.2976,-94.713898,"American","#C42D31"
"LAS-PHX","AA",255,488730,"LAS","PHX",36.08010101,-115.1520004,33.435302,-112.005905,"American","#C42D31"
"PHL-PHX","AA",2075,487937,"PHL","PHX",39.87189865,-75.2410965,33.435302,-112.005905,"American","#C42D31"
"MSP-SLC","DL",991,485643,"MSP","SLC",44.882,-93.221802,40.785749,-111.979746,"Delta","#882537"
"EWR-FLL","NK",1065,484747,"EWR","FLL",40.692501,-74.168701,26.072599,-80.152702,"Spirit","#FDEB03"
"LAS-RNO","WN",345,482254,"LAS","RNO",36.08010101,-115.1520004,39.49909973,-119.7679977,"Southwest","#E6A137"
"PHX-SMF","WN",647,481136,"PHX","SMF",33.435302,-112.005905,38.69540024,-121.5910034,"Southwest","#E6A137"
"BOS-DCA","AA",399,479320,"BOS","DCA",42.3643,-71.005203,38.8521,-77.037697,"American","#C42D31"
"PHX-SNA","WN",338,478632,"PHX","SNA",33.435302,-112.005905,33.675701,-117.867996,"Southwest","#E6A137"
"DEN-PHX","UA",602,477864,"DEN","PHX",39.86169815,-104.6729965,33.435302,-112.005905,"United","#3782CC"
"CLT-DCA","AA",331,476906,"CLT","DCA",35.2140007,-80.94309998,38.8521,-77.037697,"American","#C42D31"
"DEN-SAN","UA",853,476702,"DEN","SAN",39.86169815,-104.6729965,32.73360062,-117.1900024,"United","#3782CC"
"SAN-SLC","DL",626,475438,"SAN","SLC",32.73360062,-117.1900024,40.785749,-111.979746,"Delta","#882537"
"DTW-TPA","DL",983,474657,"DTW","TPA",42.21239853,-83.35340118,27.97550011,-82.53320313,"Delta","#882537"
"DTW-RSW","DL",1084,472608,"DTW","RSW",42.21239853,-83.35340118,26.53619957,-81.75520325,"Delta","#882537"
"MDW-TPA","WN",997,472484,"MDW","TPA",41.785999,-87.752403,27.97550011,-82.53320313,"Southwest","#E6A137"
"MCO-PHL","F9",861,472287,"MCO","PHL",28.42939949,-81.30899811,39.87189865,-75.2410965,"Frontier","#418369"
"LAS-SNA","WN",226,470558,"LAS","SNA",36.08010101,-115.1520004,33.675701,-117.867996,"Southwest","#E6A137"
"MCO-ORD","AA",1005,468425,"MCO","ORD",28.42939949,-81.30899811,41.9786,-87.9048,"American","#C42D31"
"DTW-PHX","DL",1671,467969,"DTW","PHX",42.21239853,-83.35340118,33.435302,-112.005905,"Delta","#882537"
"LAS-ORD","UA",1514,467146,"LAS","ORD",36.08010101,-115.1520004,41.9786,-87.9048,"United","#3782CC"
"HNL-LAX","UA",2556,466968,"HNL","LAX",31.32062,-132.924228,33.942501,-118.407997,"United","#3782CC"
"SEA-SFO","AS",679,466403,"SEA","SFO",47.449001,-122.308998,37.61899948,-122.375,"Alaska","#202050"
"SAN-SJC","WN",417,465619,"SAN","SJC",32.73360062,-117.1900024,37.362598,-121.929001,"Southwest","#E6A137"
"DEN-MCO","WN",1546,462716,"DEN","MCO",39.86169815,-104.6729965,28.42939949,-81.30899811,"Southwest","#E6A137"
"ATL-MKE","DL",669,462206,"ATL","MKE",33.6367,-84.428101,42.94720078,-87.89659882,"Delta","#882537"
"LAX-SFO","UA",337,458696,"LAX","SFO",33.942501,-118.407997,37.61899948,-122.375,"United","#3782CC"
"DFW-OKC","AA",175,458473,"DFW","OKC",32.896801,-97.038002,35.393101,-97.6007,"American","#C42D31"
"MIA-TPA","AA",204,455216,"MIA","TPA",25.79319954,-80.29060364,27.97550011,-82.53320313,"American","#C42D31"
"DFW-SMF","AA",1431,454460,"DFW","SMF",32.896801,-97.038002,38.69540024,-121.5910034,"American","#C42D31"
"SMF-SNA","WN",404,453082,"SMF","SNA",38.69540024,-121.5910034,33.675701,-117.867996,"Southwest","#E6A137"
"PDX-SLC","DL",630,451876,"PDX","SLC",45.58869934,-122.5979996,40.785749,-111.979746,"Delta","#882537"
"ORD-SEA","AS",1721,451607,"ORD","SEA",41.9786,-87.9048,47.449001,-122.308998,"Alaska","#202050"
"BOS-DEN","UA",1754,451187,"BOS","DEN",42.3643,-71.005203,39.86169815,-104.6729965,"United","#3782CC"
"LAS-LAX","AA",236,450615,"LAS","LAX",36.08010101,-115.1520004,33.942501,-118.407997,"American","#C42D31"
"BWI-CLT","AA",361,450563,"BWI","CLT",39.1754,-76.668297,35.2140007,-80.94309998,"American","#C42D31"
"JFK-LAX","AA",2475,449871,"JFK","LAX",40.639801,-73.7789,33.942501,-118.407997,"American","#C42D31"
"DCA-ORD","AA",612,448790,"DCA","ORD",38.8521,-77.037697,41.9786,-87.9048,"American","#C42D31"
"DTW-SLC","DL",1481,448620,"DTW","SLC",42.21239853,-83.35340118,40.785749,-111.979746,"Delta","#882537"
