"city1","city2","nsmiles","passengers_sum","fare_mean","carrier_lg","fare_lg","carrier_low","fare_low","fare_other","port1_lat","port1_lon","port2_lat","port2_lon"
"Atlanta, GA","Salt Lake City, UT",1590,2503,287.663483819417,"DL",309.718150219736,"F9",94.8574550539353,221.740735897707,33.6367,-84.428101,40.785749,-111.979746
"Atlanta, GA","San Antonio, TX",874,1557,203.770012845215,"DL",213.903904945408,"WN",174.73103403982,204.069671001586,33.6367,-84.428101,29.533701,-98.469803
"Atlanta, GA","San Diego, CA",1892,2304,286.632096354167,"DL",314.758177083333,"WN",232.61890625,216.966477459575,33.6367,-84.428101,32.73360062,-117.1900024
"Atlanta, GA","San Francisco, CA",2139,4700,304.839923404255,"DL",342.1456,"WN",183.7216,230.900987782863,33.6367,-84.428101,37.61899948,-122.375
"Atlanta, GA","Sarasota/Bradenton, FL",444,990,149.638929292929,"DL",159.356292929293,"WN",102.815323232323,148.355795067655,33.6367,-84.428101,27.395399,-82.554398
"Atlanta, GA","Seattle, WA",2182,3354,267.742611806798,"DL",303.974123434705,"AS",223.088497316637,215.713637240723,33.6367,-84.428101,47.449001,-122.308998
"Atlanta, GA","St. Louis, MO",484,2547,149.83016882607,"DL",158.834554377699,"WN",135.14241067923,148.28772416902,33.6367,-84.428101,38.748697,-90.370003
"Atlanta, GA","Tampa, FL",406,4837,137.414213355386,"DL",150.747490179864,"WN",115.468596237337,95.9639211620901,33.6367,-84.428101,27.97550011,-82.53320313
"Atlanta, GA","Washington, DC",577,12391,158.678010652893,"DL",174.958043741425,"WN",137.158398030829,137.778961813489,33.6367,-84.428101,38.8521,-77.037697
"Atlanta, GA","West Palm Beach/Palm Beach, FL",545,2176,169.220721507353,"DL",177.314609375,"WN",117.680942095588,147.962620290094,33.6367,-84.428101,26.68320084,-80.09559631
"Austin, TX","Boston, MA",1698,2585,230.001284332689,"AA",232.237914893617,"B6",218.062154738878,236.137911324252,30.197535,-97.662015,42.3643,-71.005203
"Austin, TX","Charlotte, NC",1032,1039,228.748922040423,"AA",229.794706448508,"WN",205.537651588065,229.596710184548,30.197535,-97.662015,35.2140007,-80.94309998
"Austin, TX","Chicago, IL",977,4788,169.432813283208,"WN",157.921610275689,"WN",156.212295321637,179.45144732727,30.197535,-97.662015,41.9786,-87.9048
"Austin, TX","Cincinnati, OH",958,291,157.2,"AA",157.96,"G4",92.42,184.345780768152,30.197535,-97.662015,39.048801,-84.667801
"Austin, TX","Dallas/Fort Worth, TX",190,1367,160.04237746891,"WN",159.205764447696,"WN",157.666832479883,177.262678462198,30.197535,-97.662015,32.896801,-97.038002
"Austin, TX","Denver, CO",775,4611,144.897128605509,"WN",142.497150292778,"WN",142.497150292778,145.920216807966,30.197535,-97.662015,39.86169815,-104.6729965
"Austin, TX","Detroit, MI",1149,1411,198.008440822112,"DL",212.668476257973,"NK",94.0544436569809,198.421346336503,30.197535,-97.662015,42.21239853,-83.35340118
"Austin, TX","El Paso, TX",528,651,162.347035330261,"WN",160.251228878648,"WN",160.251228878648,171.446796140618,30.197535,-97.662015,31.80719948,-106.3779984
"Austin, TX","Indianapolis, IN",919,607,179.929802306425,"WN",182.505963756178,"G4",83.9525205930807,202.644949544107,30.197535,-97.662015,39.7173,-86.294403
"Austin, TX","Kansas City, MO",650,341,166.12,"WN",162.12,"WN",162.12,173.001392818281,30.197535,-97.662015,39.2976,-94.713898
"Austin, TX","Las Vegas, NV",1090,3861,162.090606060606,"WN",178.084690494691,"NK",149.570409220409,137.985296794897,30.197535,-97.662015,36.08010101,-115.1520004
"Austin, TX","Los Angeles, CA",1242,8207,153.466919702693,"DL",162.599243328866,"B6",150.748013890581,147.15961968405,30.197535,-97.662015,33.942501,-118.407997
"Austin, TX","Miami, FL",1105,3425,149.828087591241,"AA",154.653147445255,"NK",119.420169343066,151.191727442342,30.197535,-97.662015,25.79319954,-80.29060364
"Austin, TX","Minneapolis/St. Paul, MN",1042,1397,187.780930565497,"DL",206.918589835362,"WN",136.467544738726,157.256405649342,30.197535,-97.662015,44.93450165,-93.05999756
"Austin, TX","Nashville, TN",756,1564,171.369405370844,"WN",168.505006393862,"WN",167.658388746803,180.166573612175,30.197535,-97.662015,36.12450027,-86.67819977
"Austin, TX","New Orleans, LA",444,1043,151.769674017258,"WN",146.93070949185,"WN",146.93070949185,161.883159095086,30.197535,-97.662015,29.99340057,-90.25800323
"Austin, TX","New York City, NY",1559,6738,220.945672306322,"UA",227.879200059365,"AA",200.049915405165,223.117329980143,30.197535,-97.662015,40.639801,-73.7789
"Austin, TX","Orlando, FL",994,3139,144.06428161835,"AA",144.345017521504,"NK",104.250162472125,148.879646049983,30.197535,-97.662015,28.42939949,-81.30899811
"Austin, TX","Philadelphia, PA",1430,1167,262.592579263068,"AA",275.187677806341,"WN",232.400059982862,226.974610707772,30.197535,-97.662015,39.87189865,-75.2410965
"Austin, TX","Phoenix, AZ",872,2701,194.503524620511,"WN",187.236538319141,"WN",187.236538319141,201.314061574116,30.197535,-97.662015,33.435302,-112.005905
"Austin, TX","Portland, OR",1715,1357,193.610198968312,"AS",196.307855563744,"DL",182.439528371408,192.734082604743,30.197535,-97.662015,45.58869934,-122.5979996
"Austin, TX","Raleigh/Durham, NC",1162,1242,166.961038647343,"AA",171.893429951691,"WN",150.626594202899,170.556499245405,30.197535,-97.662015,35.87760162,-78.78749847
"Austin, TX","Sacramento, CA",1481,558,241.271612903226,"WN",234.895161290323,"WN",234.895161290323,255.869571779572,30.197535,-97.662015,38.69540024,-121.5910034
"Austin, TX","Salt Lake City, UT",1086,1470,209.167741496599,"DL",219.030129251701,"WN",184.296925170068,199.697711597636,30.197535,-97.662015,40.785749,-111.979746
"Austin, TX","San Diego, CA",1164,1986,203.695876132931,"WN",192.326510574018,"WN",192.326510574018,212.66079939899,30.197535,-97.662015,32.73360062,-117.1900024
"Austin, TX","San Francisco, CA",1504,5175,208.16558647343,"WN",195.863020289855,"WN",192.927994202899,213.421476591243,30.197535,-97.662015,37.61899948,-122.375
"Austin, TX","Seattle, WA",1770,2888,191.567593490305,"AS",188.246804016621,"AS",186.978566481995,199.799486557727,30.197535,-97.662015,47.449001,-122.308998
"Austin, TX","St. Louis, MO",721,674,168.752611275964,"WN",168.766884272997,"AA",162.856884272997,201.188628416646,30.197535,-97.662015,38.748697,-90.370003
"Austin, TX","Tampa, FL",928,1187,174.024726200505,"WN",166.733799494524,"AA",166.310716090986,195.838355263408,30.197535,-97.662015,27.97550011,-82.53320313
"Austin, TX","Washington, DC",1342,3658,221.791842536905,"WN",208.449447785675,"AA",207.329535265172,242.682906038054,30.197535,-97.662015,38.8521,-77.037697
"Bend/Redmond, OR","Los Angeles, CA",751,549,201.67956284153,"AS",212.384480874317,"AS",142.99737704918,214.329978824279,44.2541008,-121.1500015,33.942501,-118.407997
"Birmingham, AL","Chicago, IL",583,555,184.708810810811,"WN",165.820054054054,"WN",165.820054054054,196.260426050035,33.562901,-86.753502,41.9786,-87.9048
"Birmingham, AL","Dallas/Fort Worth, TX",597,1197,186.397961570593,"AA",195.001503759398,"WN",166.879983291562,247.440786221427,33.562901,-86.753502,32.896801,-97.038002
"Birmingham, AL","Denver, CO",1083,269,221.75,"WN",185.83,"WN",185.83,256.552583185666,33.562901,-86.753502,39.86169815,-104.6729965
"Birmingham, AL","Houston, TX",570,282,193.14,"UA",206.29,"WN",164.27,234.774268041237,33.562901,-86.753502,29.9843998,-95.34140015
"Birmingham, AL","New York City, NY",902,377,253.78,"DL",274.48,"AA",218.98,218.481162790697,33.562901,-86.753502,40.639801,-73.7789
"Birmingham, AL","Orlando, FL",479,963,164.303842159917,"WN",151.234319833853,"WN",151.234319833853,202.021007099088,33.562901,-86.753502,28.42939949,-81.30899811
"Birmingham, AL","Washington, DC",682,360,210.62,"AA",241.69,"WN",163.08,223.594961210241,33.562901,-86.753502,38.8521,-77.037697
"Boise, ID","Denver, CO",649,1068,162.828370786517,"WN",162.852471910112,"WN",148.691938202247,186.360667460942,43.5644,-116.223,39.86169815,-104.6729965
"Boise, ID","Las Vegas, NV",519,1133,145.674324801412,"WN",146.618826125331,"G4",89.0622065313327,186.531619872617,43.5644,-116.223,36.08010101,-115.1520004
